galaxy,n,rmax,burk_chi2,burk_chi2_red,burk_bic,ein0_chi2,ein0_chi2_red,ein0_bic,ein1_chi2,ein1_chi2_red,ein1_bic,ein2_chi2,ein2_chi2_red,ein2_bic,fw_einasto_n_shells,fw_einasto_chi2,fw_einasto_chi2_red,fw_einasto_popt,T,canon_burk_chi2_red,canon_fw_burkert_n_shells,canon_fw_burkert_chi2_red
UGC02916,32,38.0,90.25378935934697,3.0084596453115657,97.18526116494643,70.4058019429629,2.4277862738952725,80.80300965136207,15.171723260482024,0.583527817710847,35.966138677280384,11.619292524786111,0.5051866315124396,42.81091564998365,1,15.171723260482024,0.583527817710847,"[6.187604767190899, 1.234822027104668, 1.1999999999985163, 10.404099038818671, 7.691670981944254, 1.205703823259915]",2,3.008459645320803,1.0,0.6332370872874699
UGC09133,64,108.31,671.7062587550896,10.833971915404671,680.024024921809,504.82352772734845,8.27579553651391,517.3001769774274,291.410754207954,5.0243233484130005,316.36405270811207,174.86771827413725,3.179413059529768,212.29766602437428,2,174.86771827413725,3.179413059529768,"[5.860723821488255, 1.5162511707710131, 0.3173159009864791, 10.699999999999998, 51.10876722245423, 1.3675720254587826, 10.699999999999998, 9.096598554963826, 1.8556068438370588]",2,10.833971915600548,2.0,4.817559154911119
NGC0289,28,71.12,67.52396364451424,2.5970755247890094,74.18837266486464,48.48526102867839,1.9394104411471356,58.481874559204,27.226958346529567,1.237589015751344,47.220185407580786,17.194056938992386,0.9049503652101256,47.18389753056922,2,17.194056938992386,0.9049503652101256,"[4.000000000000001, 2.2906891639167832, 0.05000000000000001, 10.393496436079898, 9.013200250856913, 1.3375707821502008, 10.699999999999998, 29.316535415194682, 1.9005062884944683]",3,2.5970755247906205,1.0,1.6520257362651904
NGC5985,33,34.72,111.8996454016268,3.6096659806976388,118.89266052455976,76.49371035321704,2.5497903451072346,86.98323303761649,29.382569034219763,1.0882432975636949,50.36161440301865,14.668545439637281,0.6111893933182201,46.1371134928356,2,14.668545439637281,0.6111893933182201,"[6.179971311239934, 1.4021469521881065, 0.05361923758905979, 10.699999999999998, 22.40337519822648, 1.7765597965652442, 10.699999999999998, 6.502060336668084, 1.69384141119409]",3,3.6096659806979,2.0,2.258179268929689
NGC5055,22,54.59,190.57790347228863,9.528895173614432,196.75998837900525,160.05006949663584,8.423687868243992,169.32319685671078,17.26138368689244,1.0788364804307775,35.80763840704233,6.59493569450022,0.5073027457307862,34.41431777472506,2,6.59493569450022,0.5073027457307862,"[5.5126177343569305, 1.591617465865874, 1.199999999812819, 10.21887730567641, 8.82555238855107, 1.779076335687392, 10.637706886557085, 14.905856215902165, 3.1870327184585006]",4,9.528895173612792,1.0,1.4641064759698024
NGC3198,40,44.08,67.92943217248063,1.7876166361179113,75.3071910807085,36.49987271974793,0.9864830464796737,47.56651108208973,11.194442099015436,0.3292482970298658,33.32771882369906,8.302647767683471,0.2678273473446281,41.5025628547089,1,11.194442099015436,0.3292482970298658,"[6.510154378609893, 1.0478841068824567, 0.5364249359895965, 10.649222678374208, 37.02412433646354, 4.522397528215927]",4,1.7876166361178942,2.0,0.4522486559656372
NGC3521,41,17.74,30.907453415025646,0.7924988055134781,38.33459754843426,11.156374510814551,0.2935888029161724,22.297090710927474,2.1379430231648797,0.06108408637613942,24.419375423390726,2.3652332020666353,0.07391353756458235,35.787381802405406,0,11.156374510814551,0.2935888029161724,"[4.000000000000001, 2.642942531388393, 0.0873193006905887]",5,0.7924988055474643,1.0,0.0621076360560266
NGC5033,20,44.59,44.54004314249027,2.4744468412494594,50.53150768959825,32.79062873885481,1.9288605140502828,41.77782555951678,22.453124483795218,1.6037946059853727,40.427518125119164,11.21330001460641,1.0193909104187646,38.174890476592324,2,11.21330001460641,1.0193909104187646,"[6.808563257320876, 1.040308285040321, 1.0205762581970639, 10.638046179942314, 22.25133939876167, 2.907995848618872, 10.699999999999967, 39.51671691007526, 1.7389857720658717]",5,2.4744468412494536,0.0,2.4744468412494536
NGC3893,10,19.05,2.8268221449692206,0.35335276812115257,7.431992330957312,2.8026755102793106,0.40038221575418725,9.710430789261448,0.7188065377554458,0.17970163443886145,14.534317095719722,0.40352603169594986,0.40352603169594986,21.126791868642364,0,2.8026755102793106,0.40038221575418725,"[6.952104287214736, 0.8928818625581444, 0.997721317546329]",6,0.3533527681213128,0.0,0.3533527681213128
NGC6946,55,20.4,63.2203908618503,1.1928375634311377,71.23505723231524,65.27950511371733,1.255375098340718,77.30150466941475,29.61010946511637,0.6042879482676811,53.65410857651119,16.876671102106286,0.36688415439361494,52.942669769198524,2,16.876671102106286,0.36688415439361494,"[6.506608705552053, 0.9921970061884234, 1.1999999999999698, 9.722152954197878, 4.201489088699232, 0.41036469852444246, 9.801204060067466, 11.186963850224945, 0.29760243225352245]",6,1.19283756343114,2.0,0.3819362374160507
NGC2403,73,20.87,1351.0329186908548,19.028632657617674,1359.6138375731516,376.0288538164865,5.37184076880695,388.9002321399317,160.163635061811,2.3905020158479253,185.90639170870134,61.040626222292744,0.9537597847233241,99.65476119262826,2,61.040626222292744,0.9537597847233241,"[7.918763782172801, 0.00579950548839912, 1.1999999999999997, 10.167174494177791, 4.957669442509457, 1.4258314172992226, 10.699999999999998, 13.135855381690078, 4.0600171729237635]",7,19.028632657596752,2.0,0.7870304121898094
NGC6503,31,23.5,73.85803114801341,2.5468286602763244,80.72600555698371,51.104931331637694,1.8251761189870606,61.406892945093134,43.62272665361297,1.7449090661445188,64.22664988052385,29.763238334697363,1.352874469758971,60.669123175063675,2,29.763238334697363,1.352874469758971,"[7.045701827379963, 0.6569291980185519, 1.199999999977594, 9.722657725366279, 10.414596915496887, 1.1989107708053564, 10.624915258690596, 18.55518324951814, 5.4741528009500255]",7,2.546828660276091,1.0,0.8058832261180524
UGC01281,25,4.99,3.882036895686493,0.16878421285593448,10.319788545422893,3.427653845668972,0.1558024475304078,13.084281320273574,0.5111098240170335,0.02690051705352808,19.824364773226236,0.3717955036974322,0.023237218981089512,29.341677927511235,0,3.427653845668972,0.1558024475304078,"[6.718091087305626, 0.5938125435667706, 1.1999999999999997]",8,0.1688161095947725,0.0,0.1688161095947725
NGC3109,25,6.45,3.4270553845101537,0.1490024080221806,9.864807034246555,3.451852547559712,0.15690238852544144,13.108480022164313,2.253996556280953,0.11863139769899754,21.567251505490155,1.3121857431533999,0.08201160894708749,30.282068166967203,0,3.451852547559712,0.15690238852544144,"[6.564432092174733, 0.7599527613838243, 1.1447860284266036]",8,0.1490024080221437,0.0,0.1490024080221437
UGC04305,17,5.27,21.157965239772896,1.4105310159848596,26.82439192788533,14.579695186323962,1.0414067990231402,23.07933521849261,7.531354585822618,0.6846685987111472,24.530634650159918,7.533788698959279,0.9417235873699099,33.032708795465226,0,14.579695186323962,1.0414067990231402,"[6.97836972076149, 0.04525693990507569, 1.1999999999999997]",9,,,
DDO154,12,5.92,6.886910693943507,0.6886910693943508,11.856723993519509,2.6216091448378513,0.2912899049819835,10.076329094201853,1.5877184447190007,0.26461974078650013,16.497158343447005,0.8000222217570188,0.26667407391900627,23.164182069849023,0,2.6216091448378513,0.2912899049819835,"[6.663458123454962, 0.5263970908714829, 1.1999999999999997]",9,,,
